分数段,本段人数,累计人数
685,12,57
684,4,61
683,14,75
682,16,91
681,11,102
680,14,116
679,23,139
678,19,158
677,15,173
676,24,197
675,17,214
674,31,245
673,30,275
672,28,303
671,27,330
670,26,356
669,36,392
668,31,423
667,40,463
666,41,504
665,48,552
664,47,599
663,54,653
662,56,709
661,67,776
660,55,831
659,74,905
658,61,966
657,74,1040
656,82,1122
655,82,1204
654,87,1291
653,102,1393
652,102,1495
651,95,1590
650,105,1695
649,117,1812
648,124,1936
647,125,2061
646,138,2199
645,135,2334
644,150,2484
643,156,2640
642,168,2808
641,162,2970
640,175,3145
639,189,3334
638,192,3526
637,227,3753
636,203,3956
635,214,4170
634,223,4393
633,207,4600
632,220,4820
631,247,5067
630,246,5313
629,265,5578
628,266,5844
627,266,6110
626,297,6407
625,302,6709
624,287,6996
623,297,7293
622,311,7604
621,323,7927
620,289,8216
619,312,8528
618,354,8882
617,379,9261
616,381,9642
615,389,10031
614,405,10436
613,407,10843
612,421,11264
611,401,11665
610,413,12078
609,428,12506
608,424,12930
607,435,13365
606,479,13844
605,487,14331
604,479,14810
603,534,15344
602,530,15874
601,536,16410
600,521,16931
599,561,17492
598,585,18077
597,552,18629
596,579,19208
595,628,19836
594,594,20430
593,640,21070
592,628,21698
591,659,22357
590,651,23008
589,636,23644
588,636,24280
587,671,24951
586,690,25641
585,695,26336
584,721,27057
583,766,27823
582,709,28532
581,748,29280
580,824,30104
579,816,30920
578,792,31712
577,851,32563
576,863,33426
575,859,34285
574,877,35162
573,919,36081
572,881,36962
571,1004,37966
570,911,38877
569,951,39828
568,1006,40834
567,1018,41852
566,1037,42889
565,1052,43941
564,1007,44948
563,1073,46021
562,1110,47131
561,1028,48159
560,1133,49292
559,1118,50410
558,1123,51533
557,1159,52692
556,1151,53843
555,1215,55058
554,1195,56253
553,1271,57524
552,1282,58806
551,1291,60097
550,1323,61420
549,1340,62760
548,1301,64061
547,1314,65375
546,1333,66708
545,1383,68091
544,1436,69527
543,1481,71008
542,1382,72390
541,1536,73926
540,1438,75364
539,1510,76874
538,1555,78429
537,1589,80018
536,1594,81612
535,1626,83238
534,1657,84895
533,1683,86578
532,1618,88196
531,1684,89880
530,1695,91575
529,1760,93335
528,1726,95061
527,1832,96893
526,1805,98698
525,1833,100531
524,1792,102323
523,1867,104190
522,1814,106004
521,1850,107854
520,1920,109774
519,1922,111696
518,1942,113638
517,1924,115562
516,1953,117515
515,1989,119504
514,2067,121571
513,2084,123655
512,2024,125679
511,2026,127705
510,2010,129715
509,2042,131757
508,2051,133808
507,2114,135922
506,2157,138079
505,2099,140178
504,2103,142281
503,2230,144511
502,2178,146689
501,2204,148893
500,2214,151107
499,2155,153262
498,2192,155454
497,2296,157750
496,2285,160035
495,2298,162333
494,2231,164564
493,2264,166828
492,2270,169098
491,2299,171397
490,2331,173728
489,2282,176010
488,2314,178324
487,2320,180644
486,2361,183005
485,2361,185366
484,2343,187709
483,2326,190035
482,2237,192272
481,2332,194604
480,2377,196981
479,2281,199262
478,2316,201578
477,2225,203803
476,2313,206116
475,2322,208438
474,2307,210745
473,2301,213046
472,2260,215306
471,2321,217627
470,2377,220004
469,2289,222293
468,2246,224539
467,2185,226724
466,2144,228868
465,2363,231231
464,2246,233477
463,2319,235796
462,2243,238039
461,2218,240257
460,2233,242490
459,2217,244707
458,2180,246887
457,2246,249133
456,2153,251286
455,2247,253533
454,2148,255681
453,2173,257854
452,2163,260017
451,2127,262144
450,2084,264228
449,2108,266336
448,2164,268500
447,2097,270597
446,2073,272670
445,2134,274804
444,2100,276904
443,1993,278897
442,2006,280903
441,1959,282862
440,1892,284754
439,2060,286814
438,1949,288763
437,1919,290682
436,1902,292584
435,1957,294541
434,1906,296447
433,1912,298359
432,1902,300261
431,1818,302079
430,1869,303948
429,1888,305836
428,1874,307710
427,1844,309554
426,1819,311373
425,1896,313269
424,1714,314983
423,1857,316840
422,1789,318629
421,1808,320437
420,1822,322259
419,1631,323890
418,1688,325578
417,1691,327269
416,1701,328970
415,1685,330655
414,1796,332451
413,1680,334131
412,1642,335773
411,1655,337428
410,1665,339093
409,1695,340788
408,1593,342381
407,1628,344009
406,1661,345670
405,1611,347281
404,1612,348893
403,1586,350479
402,1655,352134
401,1601,353735
400,1552,355287
399,1666,356953
398,1490,358443
397,1551,359994
396,1547,361541
395,1552,363093
394,1515,364608
393,1531,366139
392,1522,367661
391,1550,369211
390,1534,370745
389,1517,372262
388,1477,373739
387,1505,375244
386,1519,376763
385,1518,378281
384,1446,379727
383,1478,381205
382,1487,382692
381,1496,384188
380,1456,385644
379,1422,387066
378,1484,388550
377,1482,390032
376,1463,391495
375,1464,392959
374,1450,394409
373,1441,395850
372,1347,397197
371,1489,398686
370,1451,400137
369,1432,401569
368,1461,403030
367,1383,404413
366,1432,405845
365,1377,407222
364,1410,408632
363,1407,410039
362,1484,411523
361,1434,412957
360,1435,414392
359,1415,415807
358,1364,417171
357,1392,418563
356,1366,419929
355,1340,421269
354,1401,422670
353,1407,424077
352,1310,425387
351,1375,426762
350,1308,428070
349,1318,429388
348,1338,430726
347,1270,431996
346,1326,433322
345,1316,434638
344,1329,435967
343,1354,437321
342,1351,438672
341,1392,440064
340,1324,441388
339,1370,442758
338,1229,443987
337,1313,445300
336,1348,446648
335,1353,448001
334,1380,449381
333,1244,450625
332,1272,451897
331,1253,453150
330,1268,454418
329,1217,455635
328,1288,456923
327,1177,458100
326,1248,459348
325,1221,460569
324,1206,461775
323,1267,463042
322,1268,464310
321,1263,465573
320,1222,466795
319,1259,468054
318,1152,469206
317,1171,470377
316,1184,471561
315,1145,472706
314,1151,473857
313,1176,475033
312,1087,476120
311,1093,477213
310,1087,478300
309,1147,479447
308,1118,480565
307,1095,481660
306,1080,482740
305,1096,483836
304,1075,484911
303,1171,486082
302,1024,487106
301,1023,488129
300,1116,489245
299,993,490238
298,990,491228
297,1004,492232
296,996,493228
295,977,494205
294,994,495199
293,985,496184
292,907,497091
291,926,498017
290,987,499004
289,938,499942
288,920,500862
287,923,501785
286,921,502706
285,868,503574
284,894,504468
283,909,505377
282,871,506248
281,890,507138
280,853,507991
279,834,508825
278,830,509655
277,782,510437
276,769,511206
275,805,512011
274,774,512785
273,741,513526
272,781,514307
271,776,515083
270,785,515868
269,759,516627
268,731,517358
267,668,518026
266,698,518724
265,672,519396
264,648,520044
263,630,520674
262,664,521338
261,644,521982
260,623,522605
259,627,523232
258,571,523803
257,592,524395
256,574,524969
255,541,525510
254,540,526050
253,505,526555
252,537,527092
251,529,527621
250,496,528117
249,501,528618
248,439,529057
247,494,529551
246,486,530037
245,424,530461
244,411,530872
243,435,531307
242,431,531738
241,410,532148
240,400,532548
239,401,532949
238,403,533352
237,389,533741
236,343,534084
235,349,534433
234,353,534786
233,343,535129
232,322,535451
231,341,535792
230,300,536092
229,283,536375
228,274,536649
227,279,536928
226,244,537172
225,274,537446
224,257,537703
223,253,537956
222,272,538228
221,222,538450
220,221,538671
219,203,538874
218,197,539071
217,198,539269
216,183,539452
215,151,539603
214,168,539771
213,173,539944
212,189,540133
211,161,540294
210,144,540438
209,139,540577
208,166,540743
207,143,540886
206,119,541005
205,137,541142
204,128,541270
203,116,541386
202,111,541497
201,100,541597
200,118,541715
199,106,541821
198,111,541932
197,81,542013
196,97,542110
195,91,542201
194,89,542290
193,73,542363
192,65,542428
191,85,542513
190,79,542592
189,72,542664
188,76,542740
187,62,542802
186,58,542860
185,78,542938
184,68,543006
183,65,543071
182,46,543117
181,58,543175
180,64,543239
179,51,543290
178,56,543346
177,50,543396
176,52,543448
175,53,543501
174,59,543560
173,59,543619
172,38,543657
171,41,543698
170,39,543737
169,43,543780
168,38,543818
167,51,543869
166,40,543909
165,32,543941
164,28,543969
163,29,543998
162,43,544041
161,34,544075
160,38,544113
159,36,544149
158,27,544176
157,32,544208
156,36,544244
155,27,544271
154,39,544310
153,29,544339
152,35,544374
151,39,544413
150,11,544424
